qsns,opt1,opt2,opt3,opt4,correct_option,explanation
Which protocol is responsible for error detection and correction at the transport layer?,TCP,UDP,ICMP,ARP,TCP,"Transmission Control Protocol (TCP) provides reliable, connection-oriented service including error detection and recovery; UDP is connectionless and unreliable."
Which of the following is a type of routing algorithm used in the network layer?,Link-state routing,Distance-vector routing,Path-vector routing,All of the above.,All of the above.,"Link-state, distance-vector, and path-vector are all fundamental categories of routing algorithms used to determine paths in the network layer."
Which application layer protocol is used for sending and receiving emails?,HTTP,FTP,SMTP,POP,SMTP,"Simple Mail Transfer Protocol (SMTP) is the standard protocol for sending emails; while POP/IMAP are for receiving, SMTP is the primary choice in this context."
Which of the following is an example of a physical layer protocol?,Ethernet,TCP,HTTP,ISP,Ethernet,"Ethernet defines both physical (cabling/signaling) and data link layer specifications, making it a physical layer protocol example here."
Synchronous circuit that changes its state at specific clock signal is:,Event driven,Clock driven,Pulse driven,Frequency driven,Clock driven,"Synchronous circuits are synchronized by a global clock signal, meaning state changes occur specifically at the clock edges."
Bandwidth of microprocessor represents:,Clock speed,Width of internal bus,Number of bit processed/instruction,Number of bit processed/sec,Number of bit processed/sec,"Bandwidth in computing refers to the data transfer rate or processing capacity, measured in bits per second (bps)."
What is the purpose of the cache replacement policy?,To determine which data to store in the cache.,To determine which data to evict from the cache when space is needed.,To determine how many levels of cache to use.,To determined which data to store in RAM.,To determine which data to evict from the cache when space is needed.,Replacement policies (like LRU or FIFO) decide which existing cache entry to remove to make room for new data.
What is operator overloading in C++?,Defining a new operator.,Overriding an existing operator.,Changing the behaviour of an existing operator.,Changing the behaviour of new operator.,Changing the behaviour of an existing operator.,Operator overloading allows standard C++ operators (like + or *) to have user-defined meanings when applied to user-defined types (classes).
What is a class template in C++?,A class that can be used to create objects of different types.,A function that can be used to create objects of different types.,A variable that can be used to create objects of different types.,A character that can be used to create objects of different types.,A class that can be used to create objects of different types.,"Class templates allow the definition of a generic class where data types are passed as parameters, enabling code reusability."
What is the difference between ifstream and ofstream in C++?,"ifstream is used for input, while ofstream is used for output.","ofstream is used for input, while ifstream is used for output.",both are used as input.,both are used as output,"ifstream is used for input, while ofstream is used for output.","In C++, 'i' stands for input (reading from files) and 'o' stands for output (writing to files)."
What is the purpose of the control unit in a CPU?,To perform arithmetic and logical operations on data.,To store and retrieve data from memory.,To interpret instructions and control the flow of data within the CPU.,To print data from memory,To interpret instructions and control the flow of data within the CPU.,"The Control Unit (CU) acts as the brain of the CPU, decoding instructions and managing the timing of the other components."
What is a signal in VHDL?,A variable used to store a value in a digital circuit.,A physical wire used to transmit data in a digital circuit.,A function used to perform a specific task in VHDL.,A file used to store a specific task.,A physical wire used to transmit data in a digital circuit.,Signals in VHDL model the electrical wires that connect different logic gates and components in a circuit.
What is a real-time kernel?,The core component of a real-time operating system.,The user interface of a real-time operating system.,The hardware component of a real-time operating system.,The core component of a real-time pointer system.,The core component of a real-time operating system.,The real-time kernel is the essential part of an RTOS that manages task scheduling and synchronization with strict timing constraints.
Which of the following is an example of a physical layer protocol?,Ethernet,TCP,HTTP,ISP,Ethernet,"Ethernet describes the physical medium and transmission requirements, placing it at the base of the protocol stack."
The PPP of the OSI model operates at ---------------,Physical layer,Data link layer,Network layer,Transport layer,Data link layer,"PPP frames data for transmission over physical links, a core responsibility of the OSI Data Link Layer."
Which of the following is a type of routing algorithm used in the network layer?,Link-state routing,Distance-vector routing,Path-vector routing,All of the above.,All of the above.,"All three listed methods (Link-state, Distance-vector, and Path-vector) are valid routing protocols used by routers at Layer 3."
Which application layer protocol is used for sending and receiving emails?,HTTP,FTP,SMTP,POP,SMTP,SMTP is the primary protocol used for transferring (sending) email messages across networks.
Which protocol is responsible for error detection and correction at the transport layer?,TCP,UDP,ICMP,ARP,TCP,"TCP uses checksums, acknowledgments, and retransmissions to ensure error-free data delivery at the Transport Layer."
Which of the following is not a common type of firewall?,Packet-filtering firewall,Stateful inspection firewall,Proxy firewall,Encryption firewall,,
What are the basic limitations of finite state machine?,It cannot remember grammar for a language,It cannot remember arbitrarily large amount of information,It cannot remember language generated from a grammar,In cannot remember state transitions,,
Which of the following Machine is specific for Context free grammar?,Finite state automata,Push down automata,Linear bounded automata,Turing Machine,,
Which of these clustering technique permits a convenient graphical display?,Agglomerative clustering,Hierarchical clustering,Probabilistic model-based clustering,Partition-based clustering,,
A straight line segment is translated by applying the transformation equation,P’=P+T,Dx and Dy,P’=P+P,Cy,,
………………….. level is where the model becomes compatible and executable code,Abstract level,Application level,Implementation level,All of the above,,
Turing machine (TM) is more powerful than FMS (Finite State Machine) because,tape movement is confined to one direction,it has no finite state,it has the capability to remember arbitrarily long sequences of input symbols,it has finite state,,
What does composite transformations means?,Transformations that can be done in sequence,Transformations that cannot be done in sequence,Transformations that can be done simultaneously,Transformations that cannot be done simultaneously,,
"It is advisable, to store the -------- before applying the actual transaction to the database.",Data,Logs,Receive,Record,,
"To enforce ………………….. two functions are provided enter-critical and exit-critical, where each function takes as an argument the name of the resource that is the subject of competition.",Mutual Exclusion,Synchronization,Deadlock,Starvation,,
"If you wanted to require that a user enter an Administrator password to perform administrative tasks, what type of user account should you create for the user?",Administrator User account,Standard User account,Power User account,Authenticated User account,,
What is the hash function used in the division method?,h(k) = k/m,h(k) = k mod m,h(k) = m/k,h(k) = m mod k,,
Redundancy is reduced in a database table by using the ------------ form.,Abnormal,Normal,Special,Exactly,,
What is reference architecture?,It is a reference model mapped onto software components,It provided data flow with comments,It provides data flow with pieces,It is a reference model mapped onto software components & data flow with comments,,
"The process to gather the software requirements from client, analyze and document them is known as ___________________.",Feasibility Study,Requirement Gathering,Requirement Engineering,System Requirements Specification,,
"In object-oriented design, what does visibility refer to?",The physical appearance of an object.,The accessibility of class members from other parts of the program.,The process of creating instances of classes.,The relationship between classes in a system.,,
Which of the following testing is sometime called as Acceptance testing?,White-box testing,Grey box testing,Alpha testing,Beta testing,,
What is the purpose of representing system behaviour in OOAD?,To document system architecture and components,To identify potential risks and challenges,To understand and model the dynamic aspects of the system,To create user interfaces and interactions,,
Which of the following is not a type of DMA transfer mode?,Burst mode,Cycle-stealing mode,Interrupt mode,Instruction mode.,,
An instruction set refers to a set of -----------,rules for writing code in a specific programming language.,instructions that a processor can execute.,input/output operations that a processor can perform.,printing command,,
What is the main goal of natural language understanding (NLU)?,Translating text from one language to another,Generating human-like responses to user queries,Analyzing and interpreting the meaning of natural language text,Extracting entities and their relationships from a text,,
What is the main goal of the resolution algorithm in inference?,To derive new logical axioms,To simplify logical expressions,To prove the satisfiability or un-satisfiability of a given set of logical statements,To find contradictions in the knowledge base,,
Which machine learning technique is used to group similar data points together in an unsupervised learning setting?,Clustering,Classification,Regression,Supervised learning,,
"In machine learning, which of the following refers to a supervised learning technique where the algorithm learns from labeled data?",Clustering,Classification,Regression,Reinforcement learning,,
"Which searching technique is guaranteed to find the optimal solution in a state space search problem, assuming no path costs?",Depth-first search (DFS),Breadth-first search (BFS),Hill climbing,A* search,,
Which of the following is a common technique used to prevent overfitting in machine learning models?,Gradient descent,Cross-validation,Linear regression,Data normalization,,
What is the purpose of feature scaling in machine learning?,To improve model interpretability,To ensure that all features are on the same scale and prevent bias due to differing feature magnitudes,To reduce the dimensionality of the data,To improve model accuracy,,
What is overfitting in machine learning?,When a model generalizes well to unseen data.,When a model performs poorly on both training and test data.,When a model learns the details and noise in the training data to the point that it negatively impacts the performance of the model on new data.,When a model performs well on both training and test data.,,
"In which type of environment, the next state of the environment is completely determined by the current state and the action taken by the agent?",Observable environment,Deterministic environment,Episodic environment,Static environment,,
How are relationships between classes represented when mapping design to code?,Through inheritance and implementation of interfaces.,Through the use of composition and aggregation.,Through static method calls and global variables.,Through conditional statements and loops.,,
65. Output of the program below will be -------------,0,Garbage value,Compilation error,Runtime error,,
67. What is the result of the (0x5A3D - 0x28F1) + 0xABCD in hexadecimal notation?,0x8D7F,0x8E7E,0x8F7D,0x907C,,
"66. What is the output of the following C code? int x = 10, y = 20; int *p = &x, *q = &y; *p = *q; *q = 30;","x = 10, y = 20","x = 20, y = 30","x = 30, y = 20","x = 30, y = 30",,
64. A microcontroller is running a program with a clock frequency of 8 MHz. The microcontroller receives an interrupt request from an external device that requires 20 cycles to service. What is the time required to service the interrupt?,2.5 μs,20 ns,40 ns,160 ns,,
68. What is the output of the y <= (a and b) xor (not b and c); VHDL code?,AND gate,OR gate,XOR gate,NAND gate,,
69. What is the data rate required to transmit signal with max frequency component of 10KHz for 8 bit per symbol?,80 KBPs,160 KBPs,< 160 KBPs,< 80 KBPs,,
62. A 400 mH coil of negligible resistance is connected to an AC circuit in which an effective current of 6 mA is flowing. Find out the voltage across the coil if the frequency is 1000 Hz.,15.07V,15079.67 V,150.79 V,15079 V,,
"61. A 10 μH inductor, 40π² pF capacitor and a 628 Ω resistor are connected to form a series RLC circuit. Calculate Q-factor of this circuit at resonant frequency.",1.0142x10-6,2.50,1.0142x10-9,2.50x10-3,,
"73. What does the following function do for a given Linked List with first node as head? void fun1(struct node* head) { if (head == NULL) return; fun1(head->next); printf(""%d "", head->data); }",Prints all nodes of linked lists,Prints all nodes of linked list in reverse order,Prints alternate nodes of Linked List,Prints alternate nodes in reverse order,,
76. What is the correct order of phases in the Object-Oriented Development Cycle?,"Analysis, Design, Implementation, Testing, Maintenance","Design, Analysis, Implementation, Maintenance, Testing","Analysis, Design, Implementation, Maintenance, Testing","Design, Analysis, Testing, Implementation, Maintenance",,
"72. An efficient transformation method which produces a parallel mirror image of an object is also referred as,",Rotation,Reflection,Shear,Rotation and shear,,
75. Which of the following statements best describes the role of a configuration management tool in software engineering?,It helps a graphical user interface for designing software architectures.,It helps the process of generating code from high-level models or specifications.,"It helps track, control, and manage changes to software artifacts throughout the development lifecycle.",It helps the testing and debugging software applications to ensure their correctness.,,
74. Consider the following three processes in the FCFS. Process ID. Brust-time Arrival-time P1 3 3 P2 6 6 P3 9 9 What is the average waiting time?,2,3,4,5,,
78. Which of the following activation functions is commonly used for the output layer of a binary classification neural network?,Sigmoid activation function,Tanh activation function,ReLU activation function,Softmax activation function,,
77. Greedy Best-First Search is an informed search algorithm that:,Expands nodes based on their depth in the search tree,Expands nodes based on their evaluation function value,Expands nodes randomly without any heuristic guidance,Expands nodes in a breadth-first manner,,
"79. Effective monthly interest rate will be …………., if nominal interest rate of 10% accounted for continuous compounding",1%,0.84%,1.2%,2%,,
"80. By considering following activities of a project, the project duration will be Activity A B C D E Immediate predecessors - - - C A, B, D Duration (days) 4 5 3 7 5",9 days,10 days,15 days,24 days,,
"70. A data packet of size 1500 bytes is to be transmitted over a network crossing 2 routers in between. Each network layer adds a header of 20 bytes. The packet is then encapsulated by a data link layer that adds a header of 30 bytes and a trailer of 10 bytes. What is the total size of the packet, including all headers and the data payload?",1550 bytes,1560 bytes,1620 bytes,1680 bytes,,
"71. Consider CFG with {S,A,B} as the non-terminal alphabet, {a,b} as the terminal alphabet, S as the start symbol and the following set of production rules S->aB S->bA B->aB->bS A->aS B->aBB A-> bAA which of the following strings is generated by grammar?",aaaabb,aabbbb,aabbab,abbbba,,
Output of the program below will be -------------,0,Garbage value,Compilation error,Runtime error,,
What is the output of the y <= (a and b) xor (not b and c); VHDL code?,AND gate,OR gate,XOR gate,NAND gate,,
What is the data rate required to transmit signal with max frequency component of 10KHz for 8 bit per symbol?,80 KBPs,160 KBPs,< 160 KBPs,< 80 KBPs,,
A microcontroller is running a program with a clock frequency of 8 MHz. The microcontroller receives an interrupt request from an external device that requires 20 cycles to service. What is the time required to service the interrupt?,2.5 μs,20 ns,40 ns,160 ns,,
"Consider CFG with {S,A,B} as the non-terminal alphabet, {a,b} as the terminal alphabet, S as the start symbol and the following set of production rules S->aB S->bA B->aB->bS A->aS B->aBB A-> bAA which of the following strings is generated by grammar?",aaaabb,aabbbb,aabbab,abbbba,,
What is the result of the (0x5A3D - 0x28F1) + 0xABCD in hexadecimal notation?,0x8D7F,0x8E7E,0x8F7D,0x907C,,
"What is the output of the following C code? int x = 10, y = 20; int *p = &x, *q = &y; *p = *q; *q = 30;","x = 10, y = 20","x = 20, y = 30","x = 30, y = 20","x = 30, y = 30",,
"A data packet of size 1500 bytes is to be transmitted over a network crossing 2 routers in between. Each network layer adds a header of 20 bytes. The packet is then encapsulated by a data link layer that adds a header of 30 bytes and a trailer of 10 bytes. What is the total size of the packet, including all headers and the data payload?",1550 bytes,1560 bytes,1620 bytes,1680 bytes,,
Convert (312)8 into decimal:,(200)10,(202)10,(204)10,(206)10,,
A 400 mH coil of negligible resistance is connected to an AC circuit in which an effective current of 6 mA is flowing. Find out the voltage across the coil if the frequency is 1000 Hz.,15.07V,15079.67 V,150.79 V,15079 V,,
"A 10 μH inductor, 40π² pF capacitor and a 628 Ω resistor are connected to form a series RLC circuit. Calculate Q-factor of this circuit at resonant frequency.",1.0142x10-6,2.50,1.0142x10-9,2.50x10-3,,
Which of the following statements best describes the role of a configuration management tool in software engineering?,It helps a graphical user interface for designing software architectures.,It helps the process of generating code from high-level models or specifications.,"It helps track, control, and manage changes to software artifacts throughout the development lifecycle.",It helps the testing and debugging software applications to ensure their correctness.,,
"Effective monthly interest rate will be …………., if nominal interest rate of 10% accounted for continuous compounding",1%,0.84%,1.2%,2%,,
What is the correct order of phases in the Object-Oriented Development Cycle?,"Analysis, Design, Implementation, Testing, Maintenance","Design, Analysis, Implementation, Maintenance, Testing","Analysis, Design, Implementation, Maintenance, Testing","Design, Analysis, Testing, Implementation, Maintenance",,
"By considering following activities of a project, the project duration will be Activity A B C D E Immediate predecessors - - - C A, B, D Duration (days) 4 5 3 7 5",9 days,10 days,15 days,24 days,,
Consider the following three processes in the FCFS. Process ID. Brust-time Arrival-time P1 3 3 P2 6 6 P3 9 9 What is the average waiting time?,2,3,4,5,,
Greedy Best-First Search is an informed search algorithm that:,Expands nodes based on their depth in the search tree,Expands nodes based on their evaluation function value,Expands nodes randomly without any heuristic guidance,Expands nodes in a breadth-first manner,,
Which of the following activation functions is commonly used for the output layer of a binary classification neural network?,Sigmoid activation function,Tanh activation function,ReLU activation function,Softmax activation function,,
"An efficient transformation method which produces a parallel mirror image of an object is also referred as,",Rotation,Reflection,Shear,Rotation and shear,,
"What does the following function do for a given Linked List with first node as head? void fun1(struct node* head) { if (head == NULL) return; fun1(head->next); printf(""%d "", head->data); }",Prints all nodes of linked lists,Prints all nodes of linked list in reverse order,Prints alternate nodes of Linked List,Prints alternate nodes in reverse order,,
