qsns,opt1,opt2,opt3,opt4,correct_option,explanation
What is the purpose of the 'throw' keyword in C++?,To define a function,To handle exceptions,To throw an exception,To allocate memory,,
Which of the following is NOT a container in STL?,Vector,Map,Array,Function,,
What is the difference between a class and an object?,"A class is a blueprint, while an object is an instance","An object is a blueprint, while a class is an instance",There is no difference,A class cannot have methods,,
"What is the output of the following code: int x = 5; printf(""%d"", ++x);",5,6,4,Error,,
Which of the following is NOT a valid way to pass arguments to a function in C?,Pass by value,Pass by reference,Pass by pointer,Pass by name,,
What is the size of a pointer variable in a 32-bit system?,2 bytes,4 bytes,8 bytes,Depends on the data type,,
What is the purpose of the 'const' keyword in C++?,To define constants,To prevent modification of variables,To allocate memory,To define functions,,
Which of the following is NOT a valid type of inheritance?,Single Inheritance,Multiple Inheritance,Circular Inheritance,Multilevel Inheritance,,
What is the purpose of the 'friend' keyword in C++?,To define private members,To allow access to private members,To define constructors,To allocate memory,,
"What is the output of printf(""%d"", 5 % 2)?",0,1,2,Error,,
What is the difference between 'struct' and 'class' in C++?,"Struct is for primitive data types, class is for objects","Struct has public members by default, class has private members by default","Struct cannot have methods, class can",There is no difference,,
What is the purpose of the 'new' operator in C++?,To allocate memory dynamically,To deallocate memory,To define functions,To initialize variables,,
Which of the following is NOT a valid file opening mode in C?,r,w,x,a,,
What is the purpose of the 'delete' operator in C++?,To deallocate memory,To allocate memory,To define functions,To initialize variables,,
"What is the output of the following code: int a = 5; printf(""%d"", a++);",5,6,4,Error,,
Which of the following is NOT a valid looping construct in C?,for loop,while loop,do-while loop,repeat-until loop,,
"What is the output of the following code: int a = 10; printf(""%d"", a--);",10,9,11,Error,,
What is the purpose of the 'break' statement in C?,To exit a loop,To skip an iteration,To continue execution,To define functions,,
Which of the following is NOT a valid type of pointer in C?,Void pointer,Null pointer,Wild pointer,Static pointer,,
What is the purpose of the 'continue' statement in C?,To exit a loop,To skip an iteration,To continue execution,To define functions,,
"What is the output of the following code: int a = 5; printf(""%d"", --a);",5,4,6,Error,,
Which of the following is NOT a valid type of exception handling in C++?,try-catch block,throw statement,catch-all block,switch-case block,,
"What is the output of the following code: int a = 10; printf(""%d"", a + 5);",10,15,5,Error,,
What is the purpose of the 'volatile' keyword in C++?,To prevent optimization of variables,To allocate memory dynamically,To define constants,To define functions,,
Which of the following is NOT a valid type of template in C++?,Function Template,Class Template,Variable Template,Object Template,,
"What is the output of the following code: int a = 5; printf(""%d"", a - 2);",5,3,2,Error,,
What is the purpose of the 'static' keyword in C++?,To define constants,To allocate memory dynamically,To preserve variable values between function calls,To define functions,,
Which of the following is NOT a valid type of stream in C++?,Input Stream,Output Stream,Error Stream,Static Stream,,
What is the purpose of the 'register' keyword in C?,To store variables in CPU registers,To allocate memory dynamically,To define constants,To define functions,,
"What is the output of the following code: int a = 10; printf(""%d"", a * 2);",10,20,5,Error,,
Which of the following is NOT a valid type of iterator in STL?,Input Iterator,Output Iterator,Forward Iterator,Static Iterator,,
What is the purpose of the 'mutable' keyword in C++?,To allow modification of const objects,To allocate memory dynamically,To define constants,To define functions,,
Which of the following is NOT a storage class in C?,auto,static,extern,dynamic,,
"What is the output of the following code: int a = 10; int *p = &a; printf(""%d"", *p);",10,Address of a,0,Error,,
